District,Average Evapotranspiration,Year,Month,Total Evaporation
25,0.69,2023,1,21.39
25,0.34,2023,2,9.52
25,1.12,2023,3,34.72
25,1.21,2023,4,36.3
25,2.03,2023,5,62.93
25,2.32,2023,6,69.6
25,3.62,2023,7,112.22
25,3.74,2023,8,115.94
25,3.65,2023,9,109.5
25,1.85,2023,10,57.35
25,1.32,2023,11,39.6
25,1.77,2023,12,54.87
25,0.84,2024,1,26.04
25,0.33,2024,2,9.57
25,0.31,2024,3,9.61
25,0.18,2024,4,5.4
25,1.4,2024,5,43.4
25,3.03,2024,6,90.9
25,3.57,2024,7,110.67
25,4.52,2024,8,140.12
25,4.41,2024,9,132.3
25,4.49,2024,10,139.19
26,2.31,2018,7,71.61
26,2.9,2018,8,89.9
26,2.95,2018,9,88.5
26,2.39,2018,10,74.09
26,1.07,2018,11,32.1
26,0.66,2018,12,20.46
26,0.85,2019,1,26.35
26,0.75,2019,2,21.0
26,0.3,2019,3,9.3
26,0.4,2019,4,12.0
26,1.25,2019,5,38.75
26,2.11,2019,6,63.3
26,2.72,2019,7,84.32
26,3.78,2019,8,117.18
26,3.75,2019,9,112.5
26,2.96,2019,10,91.76
26,2.07,2019,11,62.1
26,1.5,2019,12,46.5
26,0.94,2020,1,29.14
26,0.56,2020,2,16.24
26,0.29,2020,3,8.99
26,0.76,2020,4,22.8
